indv,nex,species,family,hopkins
s08,22728,Human (English),mammal,0.060257799740498164
AGO,4595,Cassin's vireo,songbird,0.011450957227185476
WM35,2290,White-rumped munia,songbird,0.032842091704044396
WABk,7373,Cassin's vireo,songbird,0.010903782489885772
s13,27202,Human (English),mammal,0.08407024224295523
Bird1,35606,Bengalese finch,songbird,0.004311636385814999
WM23,1663,White-rumped munia,songbird,0.010039901321813427
MIWAT56,261,Swamp sparrow,songbird,0.018541293464942155
NYADIRAQSI20,308,Swamp sparrow,songbird,0.02837067586001074
s05,16345,Human (English),mammal,0.07711403557824625
WIHOR20,222,Swamp sparrow,songbird,0.049817938976092435
WM38,5647,White-rumped munia,songbird,0.02457450839178199
PAWatsonRun08-35,241,Swamp sparrow,songbird,0.030150753024426047
221,2568,Egyptian fruit bat,mammal,0.2731737647668294
216,10018,Egyptian fruit bat,mammal,0.044935603555777526
s29,23632,Human (English),mammal,0.15782282119718072
118,311,Egyptian fruit bat,mammal,0.4491261853588464
103,235,Egyptian fruit bat,mammal,0.1902575347754858
NYADIRAQBT07,228,Swamp sparrow,songbird,0.024923939531363626
s32,17186,Human (English),mammal,0.11731053694210403
NYADIRAQSI17,219,Swamp sparrow,songbird,0.02388907971523402
lr13,9118,Zebra finch,songbird,0.007530245769201138
PAWatsonRun08-19,232,Swamp sparrow,songbird,0.03648231068405461
WM14,1533,White-rumped munia,songbird,0.016812497167972063
b1066,22259,European starling,songbird,0.007938911407262439
115,1036,Egyptian fruit bat,mammal,0.12585475482175035
WM42,2393,White-rumped munia,songbird,0.044140809329329955
NYADIRAQSI01,238,Swamp sparrow,songbird,0.029890390515455167
b1143,5316,European starling,songbird,0.023831191250765382
s24,20589,Human (English),mammal,0.13356178817463216
WIHOR81,287,Swamp sparrow,songbird,0.017272912279715058
gy6or6,56375,Bengalese finch,songbird,0.003571737035531375
WM02,1966,White-rumped munia,songbird,0.01048975506882921
PAConneaut08-079,240,Swamp sparrow,songbird,0.02513201558062006
WM19,1285,White-rumped munia,songbird,0.017243954052152177
bird1,104685,Canary,songbird,0.005923128022160551
VOC594,8302,Mouse,mammal,0.15826679992018822
Bird3,29470,Bengalese finch,songbird,0.004986029040075279
s11,20583,Human (English),mammal,0.04831915456722424
120,2265,Egyptian fruit bat,mammal,0.1453880966976342
NYADIRAQBT24,278,Swamp sparrow,songbird,0.02435103498060276
WM37,2214,White-rumped munia,songbird,0.020436007673275136
PAGeneva08-35,232,Swamp sparrow,songbird,0.022552759777011877
223,251,Egyptian fruit bat,mammal,0.42227344992909444
NYHVVLY20,208,Swamp sparrow,songbird,0.028557209647652737
NYMONT26,229,Swamp sparrow,songbird,0.02629038378297066
WIHOR62,215,Swamp sparrow,songbird,0.025212639882385868
PAGeneva08-23,254,Swamp sparrow,songbird,0.02525114819044738
s07,27999,Human (English),mammal,0.11502956375155104
gr41rd51,52788,Bengalese finch,songbird,0.0036754272382478748
NYADIRAQSI22,210,Swamp sparrow,songbird,0.03935925306248411
MIWAT14,213,Swamp sparrow,songbird,0.022567608359799873
WM21,2542,White-rumped munia,songbird,0.011272539348236466
b1053,24110,European starling,songbird,0.010950473053811582
WM16,2515,White-rumped munia,songbird,0.02006704841682616
s30,21838,Human (English),mammal,0.10448430923145402
101,710,Egyptian fruit bat,mammal,0.3620064431348132
MIWAT38,212,Swamp sparrow,songbird,0.03128495093463379
CATH-TLR9,1422,California thrasher,songbird,0.039171066090404105
214,483,Egyptian fruit bat,mammal,0.30982418076693385
NYADIRAQBT08,267,Swamp sparrow,songbird,0.020236845763980105
202,879,Egyptian fruit bat,mammal,0.17462150625117867
PAWatsonRun08-16,242,Swamp sparrow,songbird,0.02265166417365161
bird3,127752,Canary,songbird,0.005265752028997039
WIHOR43,213,Swamp sparrow,songbird,0.025603403586067164
PAConneaut08-060,213,Swamp sparrow,songbird,0.019781468523429102
PAGeneva08-59,220,Swamp sparrow,songbird,0.02727279166508334
s26,13259,Human (English),mammal,0.0810305221433062
CATH-TLR4,664,California thrasher,songbird,0.04176634363273202
WM40,9190,White-rumped munia,songbird,0.01905396385139968
NYHVVLY26,230,Swamp sparrow,songbird,0.01816899090969537
225,1994,Egyptian fruit bat,mammal,0.25772798555813003
PAWatsonRun08-31,236,Swamp sparrow,songbird,0.02547508523582198
MIWAT49,254,Swamp sparrow,songbird,0.025820603005669573
WIHOR64,293,Swamp sparrow,songbird,0.020086761497480232
Bird8,4985,Bengalese finch,songbird,0.010386770924016853
lny42,12959,Zebra finch,songbird,0.009950287025705884
PAGeneva08-25,227,Swamp sparrow,songbird,0.028261140030472198
NYADIRAQSI24,261,Swamp sparrow,songbird,0.025616491284801257
YBuA,2638,Cassin's vireo,songbird,0.01614429067219092
s01,14523,Human (English),mammal,0.058927419882662924
MIWAT12,255,Swamp sparrow,songbird,0.026512365963209272
WM27,3734,White-rumped munia,songbird,0.03937991732300283
MIWAT52,216,Swamp sparrow,songbird,0.03077581195999457
s17,15740,Human (English),mammal,0.04412533962855025
Bird5,20525,Bengalese finch,songbird,0.0049087905233415885
WM31,3468,White-rumped munia,songbird,0.021880144223085374
228,12100,Egyptian fruit bat,mammal,0.21059877764921842
233,771,Egyptian fruit bat,mammal,0.35629358090484664
MIWAT28,260,Swamp sparrow,songbird,0.027734883478853556
WIHOR05,243,Swamp sparrow,songbird,0.02512144345804368
NYHVVLY07,229,Swamp sparrow,songbird,0.02907929831305578
or60yw70,35799,Bengalese finch,songbird,0.0036512644834234553
204,6128,Egyptian fruit bat,mammal,0.2037065508776904
WM06,1669,White-rumped munia,songbird,0.023369349825457353
Unbanded East,2324,Cassin's vireo,songbird,0.01120115808943456
CATH-CP1,2881,California thrasher,songbird,0.021829359060453246
s20,9141,Human (English),mammal,0.06393192736035302
WIHOR85,289,Swamp sparrow,songbird,0.02336988859789557
NYADIRAQBT15,286,Swamp sparrow,songbird,0.021862114672563382
111,6011,Egyptian fruit bat,mammal,0.05670361023669723
CATH-TLR2,1340,California thrasher,songbird,0.02279820716769687
WM10,2068,White-rumped munia,songbird,0.01840388093298051
s36,16792,Human (English),mammal,0.08609303002803825
NYADIRAQSI13,228,Swamp sparrow,songbird,0.026704952323839626
MIWAT25,236,Swamp sparrow,songbird,0.030893351836437488
107,784,Egyptian fruit bat,mammal,0.31439909348836104
NYADIRAQSI08,263,Swamp sparrow,songbird,0.018771607459189044
PAWatsonRun08-46,227,Swamp sparrow,songbird,0.02597909348773142
MIWAT50,277,Swamp sparrow,songbird,0.021311749095533683
WM25,598,White-rumped munia,songbird,0.08169753983274874
NYADIRAQBT36,236,Swamp sparrow,songbird,0.026325130758364956
s03,17378,Human (English),mammal,0.20100205533904525
NYADIRAQSI26,221,Swamp sparrow,songbird,0.02167357923720692
Gate CAVI,1136,Cassin's vireo,songbird,0.01688787612769438
s18,27180,Human (English),mammal,0.09092271851959688
NYMONT62,234,Swamp sparrow,songbird,0.020245974296485447
WM28,1902,White-rumped munia,songbird,0.021874208662742367
231,14726,Egyptian fruit bat,mammal,0.10235210565409136
full,453,Giant otter,mammal,0.32721580750171086
WM33,3308,White-rumped munia,songbird,0.04724081020963666
MIWAT06,214,Swamp sparrow,songbird,0.026121484197557
NYADIRAQSI30,281,Swamp sparrow,songbird,0.0278913186072276
Bird7,20722,Bengalese finch,songbird,0.004503869115450421
s15,24764,Human (English),mammal,0.06479725528998614
113,765,Egyptian fruit bat,mammal,0.17075619655399743
WM44,2889,White-rumped munia,songbird,0.038223927844819094
s22,18324,Human (English),mammal,0.06626866759081262
